id,listing_url,season,host_response_time,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,room_type,accommodates,bedrooms,price,minimum_nights,number_of_reviews,review_scores_rating
1,https://www.airbnb.com/rooms/874212,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,3,1,1531,3,76,4.72
2,https://www.airbnb.com/rooms/874482,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,5,2,2171,3,67,4.64
3,https://www.airbnb.com/rooms/79373,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2183,1,53,4.69
4,https://www.airbnb.com/rooms/79381,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2979,1,19,4.83
5,https://www.airbnb.com/rooms/79387,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2183,1,33,4.84
6,https://www.airbnb.com/rooms/79711,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,4,1,2277,1,20,4.65
7,https://www.airbnb.com/rooms/83067,Spring_2025,within an hour,100%,95%,email/phone/work_email,Praha 1,Entire home/apt,4,1,2507,3,262,4.53
8,https://www.airbnb.com/rooms/933583,Spring_2025,within a day,100%,49%,email/phone,Praha 2,Entire home/apt,4,1,4074,1,210,4.80
9,https://www.airbnb.com/rooms/933836,Spring_2025,within a day,100%,49%,email/phone,Praha 2,Entire home/apt,2,1,2112,1,173,4.74
10,https://www.airbnb.com/rooms/83855,Spring_2025,within an hour,100%,95%,email/phone/work_email,Praha 1,Entire home/apt,5,1,2163,3,295,4.59
11,https://www.airbnb.com/rooms/83856,Spring_2025,within an hour,100%,95%,email/phone/work_email,Praha 1,Entire home/apt,5,1,2378,3,441,4.66
12,https://www.airbnb.com/rooms/98852,Spring_2025,within an hour,100%,99%,email/phone,Praha 1,Entire home/apt,2,1,1980,2,653,4.76
13,https://www.airbnb.com/rooms/106207,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,4,1,1119,2,346,4.58
14,https://www.airbnb.com/rooms/939413,Spring_2025,within a day,100%,44%,email/phone/work_email,Praha 2,Entire home/apt,3,1,4910,1,161,4.78
15,https://www.airbnb.com/rooms/970935,Spring_2025,within an hour,100%,100%,email/phone,Praha 1,Entire home/apt,3,1,1671,1,206,4.74
16,https://www.airbnb.com/rooms/976660,Spring_2025,within an hour,100%,100%,email/phone,Praha 7,Entire home/apt,4,2,1628,3,136,4.71
17,https://www.airbnb.com/rooms/977301,Spring_2025,within a day,100%,49%,email/phone,Praha 2,Entire home/apt,3,1,1897,1,142,4.82
18,https://www.airbnb.com/rooms/993197,Spring_2025,within an hour,100%,79%,email/phone,Praha 5,Entire home/apt,2,1,2550,2,24,4.63
19,https://www.airbnb.com/rooms/994758,Spring_2025,within an hour,100%,99%,email/phone/work_email,Praha 5,Entire home/apt,4,1,1738,1,453,4.58
20,https://www.airbnb.com/rooms/111141,Spring_2025,within an hour,100%,100%,email/phone,Praha 3,Entire home/apt,3,1,1115,2,269,4.48
21,https://www.airbnb.com/rooms/117451,Spring_2025,within an hour,100%,100%,email/phone,Praha 5,Entire home/apt,4,1,1439,1,347,4.70
22,https://www.airbnb.com/rooms/173114,Spring_2025,within a few hours,100%,81%,email/phone,Praha 1,Entire home/apt,4,1,1646,3,435,4.72
